"input","output","section_texts"
"IT IS PERMITTED
FOR rules of court
TO prescribe the circumstances in which, and conditions subject to which, an appointment of such a guardian may be made
WHEN/IF/WHERE rules of court are made under subsection (11)","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/5"",
  ""type"": ""PERMITTED"",
  ""for"": ""rules of court"",
  ""to"": ""prescribe the circumstances in which, and conditions subject to which, an appointment of such a guardian may be made"",
  ""conditions"": [
    {
      ""type"": ""WHEN/IF/WHERE"",
      ""text"": ""rules of court are made under subsection (11)"",
      ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/5""
    }
  ],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/5"",
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/7""
  ]
}","[
  ""section-5""
]"
"IT IS OBLIGATORY
FOR A guardian of a child
TO only be appointed in accordance with the provisions of this section","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/5"",
  ""type"": ""OBLIGATORY"",
  ""for"": ""A guardian of a child"",
  ""to"": ""only be appointed in accordance with the provisions of this section"",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/2"",
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/5""
  ]
}","[
  ""section-5""
]"
"IT IS PERMITTED
FOR the person who made an appointment under section 5(3) or (4) (including one made in an unrevoked will or codicil)
TO revoke it by a written and dated instrument which is signed—
(a) by him; or
(b) at his direction, in his presence and in the presence of two witnesses who each attest the signature.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/6"",
  ""type"": ""PERMITTED"",
  ""for"": ""the person who made an appointment under section 5(3) or (4) (including one made in an unrevoked will or codicil)"",
  ""to"": ""revoke it by a written and dated instrument which is signed— (a) by him; or (b) at his direction, in his presence and in the presence of two witnesses who each attest the signature."",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/6""
  ]
}","[
  ""section-6""
]"
"IT IS PERMITTED
FOR the person who made an appointment under section 5(3) or (4) (including one made in an unrevoked will or codicil)
TO, with the intention of revoking the appointment, 
(a) destroy the instrument by which it was made; or
(b) have some other person destroy that instrument in his presence.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/6"",
  ""type"": ""PERMITTED"",
  ""for"": ""the person who made an appointment under section 5(3) or (4) (including one made in an unrevoked will or codicil)"",
  ""to"": ""with the intention of revoking the appointment, (a) destroy the instrument by which it was made; or (b) have some other person destroy that instrument in his presence."",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/6""
  ]
}","[
  ""section-6""
]"
"IT IS PERMITTED
FOR A person who is appointed as a guardian under section 5(3) or (4)
TO disclaim his appointment by an instrument in writing signed by him and made within a reasonable time of his first knowing that the appointment has taken effect.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/6"",
  ""type"": ""PERMITTED"",
  ""for"": ""A person who is appointed as a guardian under section 5(3) or (4)"",
  ""to"": ""disclaim his appointment by an instrument in writing signed by him and made within a reasonable time of his first knowing that the appointment has taken effect."",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/6""
  ]
}","[
  ""section-6""
]"
"IT IS PERMITTED
FOR Any appointment of a guardian under section 5
TO be brought to an end at any time by order of the court—
(a) on the application of any person who has parental responsibility for the child;
(b) on the application of the child concerned, with leave of the court; or
(c) in any family proceedings, if the court considers that it should be brought to an end even though no application has been made.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/6"",
  ""type"": ""PERMITTED"",
  ""for"": ""Any appointment of a guardian under section 5"",
  ""to"": ""be brought to an end at any time by order of the court— (a) on the application of any person who has parental responsibility for the child; (b) on the application of the child concerned, with leave of the court; or (c) in any family proceedings, if the court considers that it should be brought to an end even though no application has been made."",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/6"",
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/4A""
  ]
}","[
  ""section-6""
]"
"IT IS PERMITTED
FOR A court considering any question with respect to a child under this Act
TO (a) ask an officer of the Service or a Welsh family proceedings officer ; or
(b) ask a local authority to arrange for—
(i) an officer of the authority; or
(ii) such other person (other than an officer of the Service or a Welsh family proceedings officer ) as the authority considers appropriate,
to report to the court on such matters relating to the welfare of that child as are required to be dealt with in the report.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/7"",
  ""type"": ""PERMITTED"",
  ""for"": ""A court considering any question with respect to a child under this Act"",
  ""to"": ""(a) ask an officer of the Service or a Welsh family proceedings officer ; or (b) ask a local authority to arrange for— (i) an officer of the authority; or (ii) such other person (other than an officer of the Service or a Welsh family proceedings officer ) as the authority considers appropriate, to report to the court on such matters relating to the welfare of that child as are required to be dealt with in the report."",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/7""
  ]
}","[
  ""section-7""
]"
"IT IS PERMITTED
FOR The Lord Chancellor
TO make regulations specifying matters which, unless the court orders otherwise, must be dealt with in any report under this section
AFTER consulting the Lord Chief Justice","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/7"",
  ""type"": ""PERMITTED"",
  ""for"": ""The Lord Chancellor"",
  ""to"": ""make regulations specifying matters which, unless the court orders otherwise, must be dealt with in any report under this section"",
  ""conditions"": [
    {
      ""type"": ""AFTER"",
      ""text"": ""consulting the Lord Chief Justice"",
      ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/7""
    }
  ],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/7""
  ]
}","[
  ""section-7""
]"
"IT IS PERMITTED
FOR The report
TO be made in writing, or orally, as the court requires.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/7"",
  ""type"": ""PERMITTED"",
  ""for"": ""The report"",
  ""to"": ""be made in writing, or orally, as the court requires."",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/5""
  ]
}","[
  ""section-7""
]"
"IT IS OBLIGATORY
FOR a court
TO take account of—
(a) any statement contained in the report; and
(b) any evidence given in respect of the matters referred to in the report,
in so far as the statement or evidence is, in the opinion of the court, relevant to the question which it is considering, regardless of any enactment or rule of law which would otherwise prevent it from doing so.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/7"",
  ""type"": ""OBLIGATORY"",
  ""for"": ""a court"",
  ""to"": ""take account of— (a) any statement contained in the report; and (b) any evidence given in respect of the matters referred to in the report, in so far as the statement or evidence is, in the opinion of the court, relevant to the question which it is considering, regardless of any enactment or rule of law which would otherwise prevent it from doing so."",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/7""
  ]
}","[
  ""section-7""
]"
"IT IS PERMITTED
FOR The Lord Chief Justice
TO nominate a judicial office holder (as defined in section 109(4) of the Constitutional Reform Act 2005) to exercise his functions under subsection (2).","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/7"",
  ""type"": ""PERMITTED"",
  ""for"": ""The Lord Chief Justice"",
  ""to"": ""nominate a judicial office holder (as defined in section 109(4) of the Constitutional Reform Act 2005) to exercise his functions under subsection (2)."",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/7"",
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/4""
  ]
}","[
  ""section-7""
]"
